,best,avg
0,0,0.0
1,244,207.5
2,246,222.75
3,247,207.25
4,247,222.0
5,247,220.25
6,244,226.0
7,246,222.5
8,236,214.0
9,236,205.75
10,221,211.75
11,236,222.75
12,236,208.25
13,236,220.25
14,247,222.875
15,236,220.375
16,236,209.75
17,236,219.5
18,233,219.125
19,239,214.75
20,247,224.75
21,221,216.625
22,233,215.125
23,236,217.25
24,236,221.875
25,247,225.75
26,239,213.25
27,216,208.625
28,236,219.75
29,236,219.75
30,216,212.375
31,216,203.875
32,239,223.375
33,236,218.5
34,236,219.25
35,236,221.5
36,247,219.625
37,233,217.0
38,236,217.25
39,236,221.25
40,246,221.375
41,233,211.625
42,236,225.875
43,233,214.5
44,247,220.375
45,233,214.375
46,236,214.75
47,236,221.375
48,221,215.375
49,239,219.125
50,236,219.375
51,233,214.375
52,232,214.875
53,216,214.125
54,221,217.25
55,216,212.25
56,236,211.625
57,221,214.75
58,236,214.75
59,232,214.25
60,233,216.875
61,233,218.75
62,236,221.0
63,236,218.625
64,221,212.875
65,233,216.875
66,236,220.625
67,236,213.5
68,233,218.125
69,236,220.375
70,233,223.0
71,232,218.625
72,233,216.5
73,236,213.5
74,221,213.5
75,233,216.875
76,221,214.875
77,236,217.875
78,233,218.75
79,236,221.625
80,236,219.125
81,216,214.25
82,233,216.25
83,221,215.375
84,216,214.125
85,236,218.5
86,236,216.625
87,233,220.25
88,216,214.125
89,216,214.125
90,233,215.0
91,216,210.5
92,236,218.5
93,236,220.625
94,233,216.25
95,236,218.5
96,236,219.375
97,221,211.0
98,233,215.0
99,216,212.25
100,221,216.0
